# Wavelength[nm], Reflectance
1.351981424374079324e+03 7.953305647187648431e-01
1.352173128479071920e+03 7.944118518598617396e-01
1.352364832584064288e+03 7.872749612228241434e-01
1.352556536689056884e+03 7.976023094878353925e-01
1.352748362976397857e+03 7.934436756310038197e-01
1.352940311446087662e+03 7.954548273254061774e-01
1.353132259915777468e+03 7.951456162313830234e-01
1.353324330567815878e+03 7.933221055393998578e-01
1.353516401219854060e+03 7.966281049457064611e-01
1.353708349689543866e+03 7.926448589827965741e-01
1.353900542523930881e+03 7.990060120273698718e-01
1.354092857540666500e+03 7.979720234565949033e-01
1.354285172557402120e+03 7.968657468236051145e-01
1.354477609756486345e+03 7.953743544730758064e-01
1.354670046955570569e+03 7.977411885288928639e-01
1.354862361972306189e+03 7.926199669443427798e-01
1.355054921353739019e+03 7.991996862743204755e-01
1.355247480735171848e+03 8.010145644420708644e-01
1.355440162298953510e+03 7.965204599873724201e-01
1.355632966045083549e+03 8.007305406569532602e-01
1.355825525426516379e+03 7.952449360404572065e-01
1.356018451354995250e+03 8.046514624618922307e-01
1.356211255101125289e+03 7.919185316582130207e-01
1.356404303211952538e+03 8.022762377390734168e-01
1.356597229140431409e+03 7.906305702917321154e-01
1.356790277251258658e+03 7.944350607776651252e-01
1.356983325362086134e+03 7.978661142271671336e-01
1.357176495655261988e+03 7.992916934365436044e-01
1.357369788130786674e+03 7.993547044331467122e-01
1.357563080606311360e+03 7.952618776622191188e-01
1.357756373081835818e+03 7.996203192814916871e-01
1.357949787739709109e+03 8.006744108183395658e-01
1.358143202397582399e+03 8.005287044513172967e-01
1.358336739237804295e+03 7.981057923406329468e-01
1.358530276078026191e+03 7.939729079215002150e-01
1.358723935100596691e+03 7.949581934709625264e-01
1.358917716305515796e+03 7.933860640816348120e-01
1.359111375328086297e+03 7.949463900030746544e-01
1.359305156533005402e+03 7.932129411680796105e-01
1.359499059920273112e+03 8.037582489631930338e-01
1.359692963307540822e+03 8.034666313675965510e-01
1.359886988877157137e+03 8.031874971513416339e-01
1.360081014446773452e+03 8.040786172982554714e-01
1.360274917834041162e+03 7.974539609458676237e-01
1.360469187768354914e+03 8.045463244099958500e-01
1.360663457702668438e+03 7.978099120632319297e-01
1.360857727636982190e+03 7.916718701188082408e-01
1.361052119753644320e+03 7.989528291611581734e-01
1.361246389687958072e+03 7.932553636162655852e-01
1.361440781804620201e+03 7.940608622222561364e-01
1.361635296103631163e+03 7.917814561128615480e-01
1.361829932584990502e+03 7.973066669595493261e-01
1.362024569066350068e+03 7.962195691608608961e-01
1.362219327730058239e+03 7.956191342305969361e-01
1.362413964211417579e+03 7.921867101133319711e-01
1.362608722875125750e+03 7.967846831214492331e-01
1.362803481538833921e+03 7.985729610310883242e-01
1.362998606749587907e+03 7.971357689713540751e-01
1.363193487595644683e+03 7.903184692447912107e-01
1.363388490624050064e+03 7.897155494844123602e-01
1.363583615834804050e+03 7.833394913204515531e-01
1.363778741045558036e+03 7.757921687921263132e-01
1.363973988438660626e+03 7.904669119086449314e-01
1.364169235831763217e+03 7.931946847723208016e-01
1.364364605407214412e+03 7.965974723712231365e-01
1.364559974982665608e+03 7.936615972640214123e-01
1.364755344558116803e+03 8.003964977614658194e-01
1.364950958498265436e+03 7.973243129044839117e-01
1.365146450256065236e+03 7.946115959883339741e-01
1.365342186378562246e+03 7.872611780780136570e-01
1.365537678136362274e+03 7.882931795424555910e-01
1.365733414258859284e+03 7.925037641330873184e-01
1.365929272563705126e+03 7.913899204525582931e-01
1.366125130868550741e+03 7.966035077468159864e-01
1.366321111355745188e+03 7.909469398578981014e-01
1.366516969660590803e+03 7.871970729898158936e-01
1.366712950147785250e+03 7.953836992970382269e-01
1.366909174999676907e+03 7.905373705263810669e-01
1.367105277669219959e+03 7.877469385950305325e-01
1.367301624703459993e+03 7.857702854284659422e-01
1.367497727373003045e+03 7.879769869125397008e-01
1.367694074407243306e+03 7.926984281088012008e-01
1.367890543623832173e+03 7.937340303003648234e-01
1.368086890658072434e+03 7.888460005717097268e-01
1.368283482057009905e+03 7.944115761251223651e-01
1.368480073455947377e+03 7.965973141423640103e-01
1.368676664854884848e+03 7.930431230078700544e-01
1.368873378436170924e+03 7.926932232819685620e-01
1.369070092017457000e+03 7.926093304390742222e-01
1.369266805598743304e+03 8.013597455325234264e-01
1.369463885727075194e+03 7.945198806824541604e-01
1.369660721490709875e+03 7.868690116165528714e-01
1.369857679436693388e+03 7.810651203556001620e-01
1.370054759565025279e+03 7.836452371764269786e-01
1.370251839693357169e+03 7.917305852945145661e-01
1.370449042004037892e+03 7.941158738208572432e-01
1.370646122132369783e+03 7.944263659345217610e-01
1.370843446625399110e+03 7.925452205368096470e-01
1.371040893300777043e+03 7.994719633395916958e-01
1.371238339976154748e+03 7.930789894911459692e-01
1.371435786651532680e+03 7.919964750282519894e-01
1.371633233326910613e+03 7.834500830461843535e-01
1.371830680002288318e+03 7.809804307963432723e-01
1.372028493224712065e+03 7.808283718265096596e-01
1.372226184264787207e+03 7.891466392384079986e-01
1.372423997487210954e+03 7.922864332756603956e-01
1.372621688527286096e+03 7.889601223165453314e-01
1.372819623932058448e+03 7.884717001912132650e-01
1.373017559336830800e+03 7.879003282970974409e-01
1.373215494741603152e+03 7.870322991202963747e-01
1.373413674511072713e+03 7.914237444183574999e-01
1.373611732098193897e+03 7.931552625777290588e-01
1.373809911867663459e+03 7.918731453567509071e-01
1.374008213819481625e+03 7.949021089244256988e-01
1.374206515771299792e+03 7.949561650387352296e-01
1.374404939905466790e+03 7.932087527219091605e-01
1.374603241857284956e+03 7.924467221162482256e-01
1.374801788173800560e+03 7.967248243976492450e-01
1.375000334490315936e+03 7.900904378621387281e-01
1.375199002989180144e+03 7.947450672936311467e-01
1.375397671488044125e+03 7.969640305512507572e-01
1.375596217804559728e+03 7.942230495526392264e-01
1.375795008485772314e+03 8.002274095452074354e-01
1.375993921349333732e+03 7.991721465223481369e-01
1.376192834212895150e+03 7.975180010866177449e-01
1.376391869258805173e+03 7.991746209836356751e-01
1.376590782122366363e+03 7.937117412704803865e-01
1.376789939350624991e+03 7.948222156349942225e-01
1.376989096578883618e+03 7.940865861463196618e-01
1.377188375989490851e+03 7.913917545857211966e-01
1.377387655400098083e+03 7.984052394274743225e-01
1.377586934810705316e+03 7.895101388443507284e-01
1.377786336403661153e+03 7.845990889886952369e-01
1.377985737996616990e+03 7.877220894235947846e-01
1.378185261771921660e+03 7.872599897086908216e-01
1.378384785547226102e+03 7.900320833849233670e-01
1.378584431504879149e+03 7.888376662188909538e-01
1.378784199644880800e+03 7.867014389213413672e-01
1.378983967784882680e+03 7.845858306325567133e-01
1.379183858107232936e+03 7.835447299591298265e-01
1.379383748429583420e+03 7.794180549815193926e-01
1.379583516569585072e+03 7.801403998244326177e-01
1.379783529074284161e+03 7.846881223447028653e-01
1.379983663761331627e+03 7.804194373809602014e-01
1.380183798448379321e+03 7.845824140984256623e-01
1.380383933135427014e+03 7.833519217510493959e-01
1.380584190004823085e+03 7.711338113454426768e-01
1.380784569056567989e+03 7.667346710685499778e-01
1.380984948108312892e+03 7.737968817485673112e-01
1.381185327160057795e+03 7.736405144624997066e-01
1.381385706211802471e+03 7.817178699052930169e-01
1.381586329628244584e+03 7.847022925002656857e-01
1.381786953044686697e+03 7.881926270124460787e-01
1.381987698643477415e+03 7.859581787483032045e-01
1.382188444242268361e+03 7.862535684740082909e-01
1.382389189841059078e+03 7.825116616690627191e-01
1.382590057622198401e+03 7.852619586636282456e-01
1.382790925403337724e+03 7.928136427752243698e-01
1.382992037549174256e+03 7.853814162931059828e-01
